[0.6125 0.2875],[0.8375 0.7375],[0.9875 0.4125],
[0.2125 0.1125],[0.0625 0.3125],[0.725 0.575],
[0.1875 0.9375],[0.1  0.45],[0.3375 0.6125],
[0.25  0.125],[0.4875 0.2875],[0.    0.625],
[0.2375 0.7875],[0.925 0.1  ],[0.15 0.3 ],
[0.3875 0.4625],[0.5375 0.1375],[0.05  0.475],
[0.2  0.15],[0.425 0.6  ],[0.4375 0.3125],
[0.6625 0.7625],[0.9   0.925],[0.575 0.275],
[0.8125 0.4375],[0.0375 0.6375],[0.275 0.8  ],
[0.9625 0.1125],[0.5625 0.9375],[0.475 0.45 ],
[0.7125 0.6125],[0.175 0.975],[0.625 0.125],
[0.0875 0.4875],[0.8625 0.2875],[0.325 0.65 ],
[0.2375 0.1625],[0.6125 0.7875],[0.525 0.3  ],
[0.7625 0.4625],[0.9875 0.9125],[0.225 0.825],
[0.9125 0.1375],[0.1375 0.3375],[0.375 0.5  ],
[0.6  0.95],[0.2875 0.0125],[0.75  0.625],
[0.2625 0.9625],[0.9 0.3],[0.4125 0.6375],
[0.65 0.8 ],[0.9375 0.9375],[0.8   0.475],
[0.1625 0.1375],[0.95 0.15],[0.55  0.975],
[0.3125 0.8125],[0.4625 0.4875],[0.7  0.65],
[0.6125 0.1625],[0.85  0.325],[0.975 0.95 ],
[0.5875 0.9875],[0.7875 0.6375],[0.1   0.325],
[0.3375 0.4875],[0.25 0.  ],[0.4875 0.1625],
[0.  0.5],[0.15  0.175],[0.5375 0.0125],
[0.05 0.35],[0.5125 0.9625],[0.2   0.025],
[0.425 0.475],[0.6625 0.6375],[0.575 0.15 ],
[0.8125 0.3125],[0.0375 0.5125],[0.275 0.675],
[0.1875 0.1875],[0.475 0.325],[0.7125 0.4875],
[0.175 0.85 ],[0.625 0.   ],[0.0875 0.3625],
[0.8625 0.1625],[0.325 0.525],[0.2375 0.0375],
[0.525 0.175],[0.9875 0.7875],[0.2125 0.9875],
[0.225 0.7  ],[0.3625 0.6625],[0.9125 0.0125],
[0.375 0.375],[0.1375 0.2125],[0.6   0.825],
[0.5125 0.3375],[0.8875 0.9625],[0.75 0.5 ],
[0.2625 0.8375],[0.9   0.175],[0.4125 0.5125],
[0.65  0.675],[0.5625 0.1875],[0.8  0.35],
[0.025 0.55 ],[0.3125 0.6875],[0.95  0.025],
[0.55 0.85],[0.4625 0.3625],[0.7   0.525],
[0.925 0.975],[0.6125 0.0375],[0.85 0.2 ],
[0.225 0.075],[0.6875 0.6875],[0.7375 0.6625],
[0.975 0.825],[0.8875 0.3375],[0.5875 0.8625],
[0.7875 0.5125],[0.1 0.2],[0.9375 0.1875],
[0.15 0.05],[0.425 0.35 ],[0.125 0.875],
[0.575 0.025],[0.8125 0.1875],[0.0375 0.3875],
[0.275 0.55 ],[0.1875 0.0625],[0.475 0.2  ],
[0.0875 0.2375],[0.325 0.4  ],[0.525 0.05 ],
[0.9875 0.6625],[0.2125 0.8625],[0.1375 0.0875],
[0.3625 0.5375],[0.6 0.7],[0.5125 0.2125],
[0.75  0.375],[0.2625 0.7125],[0.9  0.05],
[0.5   0.875],[0.125 0.25 ],[0.4125 0.3875],
[0.65 0.55],[0.5625 0.0625],[0.8   0.225],
[0.025 0.425],[0.3125 0.5625],[0.175 0.1  ],
[0.6375 0.7125],[0.4625 0.2375],[0.7 0.4],
[0.925 0.85 ],[0.8375 0.3625],[0.3   0.725],
[0.85  0.075],[0.5375 0.8875],[0.9875 0.0375],
[0.6875 0.5625],[0.7375 0.5375],[0.975 0.7  ],
[0.2 0.9],[0.8875 0.2125],[0.35  0.575],
[0.5875 0.7375],[0.5  0.25],[0.875 0.875],
[0.9625 0.8625],[0.7875 0.3875],[0.9375 0.0625],
[0.55 0.1 ],[0.675 0.725],[0.9125 0.8875],
[0.425 0.225],[0.0375 0.2625],[0.875 0.25 ],
[0.1625 0.8875],[0.0875 0.1125],[0.2125 0.7375],
[0.075 0.275],[0.3625 0.4125],[0.6   0.575],
[0.0625 0.9375],[0.5125 0.0875],[0.1125 0.9125],
[0.75 0.25],[0.2625 0.5875],[0.125 0.125],
[0.4125 0.2625],[0.25 0.75],[0.8 0.1],
[0.025 0.3  ],[0.4875 0.9125],[0.3125 0.4375],
[0.4   0.425],[0.6375 0.5875],[0.4625 0.1125],
[0.15  0.925],[0.925 0.725],[0.8375 0.2375],
[0.3 0.6],[0.5375 0.7625],[0.45  0.275],
[0.6875 0.4375],[0.7375 0.4125],[0.975 0.575],
[0.2   0.775],[0.4375 0.9375],[0.8875 0.0875],
[0.1125 0.2875],[0.35 0.45],[0.575 0.9  ],
[0.5875 0.6125],[0.5   0.125],[0.9625 0.7375],
[0.7875 0.2625],[0.625 0.75 ],[0.8625 0.9125],
[0.775 0.425],[0.525 0.925],[0.675 0.6  ],
[0.1375 0.9625],[0.9125 0.7625],[0.825 0.275],
[0.2875 0.6375],[0.0375 0.1375],[0.875 0.125],
[0.1625 0.7625],[0.95  0.775],[0.0125 0.9625],
[0.85 0.95],[0.2125 0.6125],[0.075 0.15 ],
[0.3625 0.2875],[0.125 0.   ],[0.4125 0.1375],
[0.1  0.95],[0.025 0.175],[0.25  0.625],
[0.4875 0.7875],[0.4 0.3],[0.6375 0.4625],
[0.15 0.8 ],[0.0125 0.3375],[0.3875 0.9625],
[0.8375 0.1125],[0.3   0.475],[0.5375 0.6375],
[0.45 0.15],[0.05  0.975],[0.6875 0.3125],
[0.7375 0.2875],[0.2  0.65],[0.0625 0.1875],
[0.1125 0.1625],[0.35  0.325],[0.575 0.775],
[0.5875 0.4875],[0.8125 0.9375],[0.5 0. ],
[0.725 0.45 ],[0.9625 0.6125],[0.1875 0.8125],
[0.7875 0.1375],[0.475 0.95 ],[0.625 0.625],
[0.8625 0.7875],[0.0875 0.9875],[0.775 0.3  ],
[0.2375 0.6625],[0.525 0.8  ],[0.3875 0.3375],
[0.7625 0.9625],[0.675 0.475],[0.1375 0.8375],
[0.9125 0.6375],[0.825 0.15 ],[0.2875 0.5125],
[0.4375 0.1875],[0.9 0.8],[0.875 0.   ],
[0.5625 0.8125],[0.8   0.975],[0.95 0.65],
[0.4625 0.9875],[0.6125 0.6625],[0.85  0.825],
[0.7625 0.3375],[0.075 0.025],[0.1   0.825],
[0.9375 0.8125],[0.025 0.05 ],[0.25 0.5 ],
[0.4875 0.6625],[0.1625 0.0125],[0.4   0.175],
[0.6375 0.3375],[0.15  0.675],[0.0125 0.2125],
[0.3  0.35],[0.45  0.025],[0.6875 0.1875],
[0.2   0.525],[0.425 0.975],[0.0625 0.0625],
[0.1125 0.0375],[0.35 0.2 ],[0.575 0.65 ],
[0.8125 0.8125],[0.725 0.325],[0.9625 0.4875],
[0.1875 0.6875],[0.475 0.825],[0.3375 0.3625],
[0.625 0.5  ],[0.4875 0.0375],[0.8625 0.6625],
[0.0875 0.8625],[0.775 0.175],[0.    0.375],
[0.2375 0.5375],[0.525 0.675],[0.3875 0.2125],
[0.675 0.35 ],[0.1375 0.7125],[0.375 0.875],
[0.05  0.225],[0.825 0.025],[0.5125 0.8375],
[0.2875 0.3875],[0.4375 0.0625],[0.6625 0.5125],
[0.9   0.675],[0.5625 0.6875],[0.8  0.85],
[0.7125 0.3625],[0.95  0.525],[0.175 0.725],
[0.8625 0.0375],[0.4625 0.8625],[0.6125 0.5375],
[0.8375 0.9875],[0.85 0.7 ],[0.7625 0.2125],
[0.225 0.575],[0.375 0.25 ],[0.8875 0.8375],
[0.1 0.7],[0.9375 0.6875],[0.25  0.375],
[0.4  0.05],[0.55  0.725],[0.0125 0.0875],
[0.3   0.225],[0.425 0.85 ],[0.575 0.525],
[0.0375 0.8875],[0.725 0.2  ],[0.9625 0.3625],
[0.1875 0.5625],[0.1   0.075],[0.475 0.7  ],
[0.3375 0.2375],[0.625 0.375],[0.0875 0.7375],
[0.775 0.05 ],[0.   0.25],[0.2375 0.4125],
[0.3875 0.0875],[0.075 0.9  ],[0.675 0.225],
[0.1375 0.5875],[0.05 0.1 ],[0.2875 0.2625],
[0.5125 0.7125],[0.75  0.875],[0.6625 0.3875],
[0.125 0.75 ],[0.9  0.55],[0.8125 0.0625],
[0.4125 0.8875],[0.275 0.425],[0.5625 0.5625],
[0.025 0.925],[0.8   0.725],[0.475 0.075],
[0.7125 0.2375],[0.95 0.4 ],[0.175 0.6  ],
[0.4625 0.7375],[0.325 0.275],[0.6125 0.4125],
[0.8375 0.8625],[0.85  0.575],[0.7625 0.0875],
[0.9875 0.5375],[0.225 0.45 ],[0.45 0.9 ],
[0.375 0.125],[0.8875 0.7125],[0.5  0.75],
[0.7875 0.8875],[0.65  0.425],[0.9375 0.5625],
[0.55 0.6 ],[0.7   0.275],[0.825 0.9  ],
[0.575 0.4  ],[0.0375 0.7625],[0.875 0.75 ],
[0.725 0.075],[0.1875 0.4375],[0.3375 0.1125],
[0.0875 0.6125],[0.    0.125],[0.2375 0.2875],
[0.075 0.775],[0.3625 0.9125],[0.2875 0.1375],
[0.5125 0.5875],[0.75 0.75],[0.425 0.1  ],
[0.6625 0.2625],[0.125 0.625],[0.9   0.425],
[0.4125 0.7625],[0.275 0.3  ],[0.5625 0.4375],
[0.025 0.8  ],[0.7125 0.1125],[0.4   0.925],
[0.95  0.275],[0.175 0.475],[0.4625 0.6125],
[0.325 0.15 ],
