[0.12229102,1.43180319],[0.14551083,3.77590576],[-0.2476780,2.28074845],
[0.36222910,3.82658906],[0.11145510,3.06633958],[0.77244582,1.58385309],
[0.19659442,0.74757865],[-0.3219814,2.96497298],[0.43188854,2.67354401],
[-0.0309597,2.33143174],[0.05417956,0.01267082],[0.72291021,2.04000278],
[-0.3715170,3.42112267],[0.28947368,1.93863618],[0.52476780,3.86460154],
[-0.0510835,3.02832710],[0.60990712,1.54584061],[0.21671826,0.05068329],
[0.23993808,2.39478587],[-0.0108359,1.63453638],[-0.1934984,2.29341927],
[0.74303405,1.34310742],[0.30959752,1.24174082],[0.63003095,0.84894525],
[0.26006191,1.69789051],[-0.2585139,3.91528483],[-0.1733746,1.59652391],
[0.49535603,3.62385587],[0.58049535,1.30509494],[0.06191950,3.52248927],
[0.32972136,0.54484546],[0.14705882,1.20372834],[0.38235294,3.12969370],
[0.65015479,0.15204989],[0.01238390,3.97863896],[-0.4210526,3.87727236],
[0.33281733,3.58584339],[0.60061919,0.60819958],[-0.1006191,3.48447679],
[0.16718266,0.50683298],[-0.2879256,3.67453917],[0.92105263,0.21540402],
[0.40247678,2.43279834],[-0.0603715,2.09068607],[0.48761609,0.11403742],
[0.03250773,3.28174360],[0.69349845,1.79925711],[0.11764705,0.96298267],
[0.35294117,2.88894803],[-0.0804953,2.78758143],[0.67337461,2.49615247],
[0.21052631,2.15404020],[-0.2229102,2.05267360],[0.44582043,4.08000556],
[0.05263157,2.58484824],[-0.1300309,3.24373112],[0.71362229,1.10236175],
[0.53095975,1.76124463],[0.13777089,0.26608731],[0.28018575,1.00099515],
[0.37306501,2.19205267],[-0.0897832,1.84994040],[-0.2724458,2.50882329],
[0.23065015,1.45714484],[0.46594427,3.38311020],[0.28328173,4.04199308],
[-0.1099071,2.54683576],[0.55108359,1.06434927],[0.39318885,1.49515731],
[0.87151702,0.67155371],[0.41640866,3.83925989],[0.50154798,1.52049896],
[-0.0170278,3.73789329],[0.25077399,0.76024948],[0.06811145,1.41913236],
[0.30340557,3.34509772],[0.57120743,0.36745391],[0.62383900,2.95230216],
[0.43653250,3.14236453],[0.25386996,3.80124741],[0.00309597,3.04099793],
[-0.1795665,3.69988081],[0.08823529,0.72223700],[-0.3668730,3.88994319],
[0.84210526,0.43080804],[0.32352941,2.64820236],[0.40866873,0.32944144],
[-0.0464396,3.49714762],[0.64396284,2.25540680],[0.18111455,1.91329453],
[0.27399380,3.10435205],[-0.1594427,3.00298545],[0.10835913,0.02534164],
[0.59442724,2.71155649],[0.34365325,1.95130700],[0.16099071,2.61018989],
[-0.0263157,2.80025226],[-0.2089783,3.45913514],[0.45201238,1.97664865],
[0.66408668,1.55851144],[0.20123839,1.21639917],[0.29411764,2.40745669],
[0.37925696,0.08869577],[-0.1393188,2.30609009],[0.52167182,0.82360360],
[0.61455108,2.01466113],[0.15170278,1.67254886],[0.38699690,3.59851422],
[-0.1888544,2.76223978],[0.47213622,1.27975329],[0.03869969,1.17838669],
[0.31424148,1.71056133],[0.13157894,2.36944422],[0.79256965,0.88695773],
[0.33746130,4.05466391],[0.54179566,0.12670824],[-0.0959752,3.95329731],
[0.63467492,1.31776577],[0.17182662,0.97565350],[0.22445820,3.56050174],
[-0.1687306,2.06534443],[0.49226006,0.58285793],[0.05882352,0.48149133],
[0.54489164,3.16770618],[0.81269349,0.19006237],[0.35758513,3.35776855],
[0.17492260,4.01665143],[-0.0758513,3.25640195],[0.00928792,0.93764102],
[0.24458204,2.86360638],[-0.1486068,1.36844907],[-0.1253869,3.71255164],
[0.56501547,2.47081082],[0.19504643,3.31975607],[-0.2383900,3.21838947],
[0.42260061,1.73590298],[0.02941176,0.24074566],[0.69814241,2.26807762],
[0.51547987,2.92696051],[0.26470588,2.16671102],[0.08204334,2.82559391],
[-0.1052631,3.01565628],[0.58513931,1.77391546],[0.21517027,2.62286071],
[-0.2182662,2.52149412],[0.44272445,1.03900762],[0.53560371,2.23006515],
[0.10216718,2.12869855],[0.76315789,0.64621206],[0.30804953,3.81391824],
[-0.2678018,2.97764381],[0.60526315,1.07702010],[-0.0402476,1.39379071],
[0.23529411,1.92596535],[0.89628482,0.44347886],[-0.1981424,1.82459876],
[0.46284829,0.34211226],[0.55572755,1.53316979],
