[-0.34414557  1.22031093],[-0.14952532  0.42072469],[0.64952532 0.90215096],
[0.59572785 0.84354255],[0.49525316 1.08425568],[0.16218354 0.21559524],
[0.53876582 0.62585415],[-0.08939873  0.79749308],[0.22310127 0.63213362],
[0.4818038  0.40816575],[0.59968354 1.04239253],[0.16613924 0.41444522],
[0.54272152 0.82470413],[0.44224684 1.06541726],[-0.08544304  0.99634306],
[0.10917722 0.19675682],[0.48575949 0.60701573],[0.17009494 0.6132952 ],
[0.42879747 0.38932733],[0.11313291 0.3956068 ],[0.48971519 0.80586571],
[0.38924051 1.04657884],[0.05617089 0.1779184 ],[-0.13844937  0.97750464],
[0.33227848 0.82889044],[0.79825949 0.44165627],[0.3931962  1.24542882],
[0.06012658 0.37676838],[0.33623418 1.02774042],[-0.1914557   0.95866622],
[0.00316456 0.15907998],[-0.09731013  0.39979312],[0.27927215 0.81005202],
[0.34018987 1.2265904 ],[0.00712025 0.35792996],[-0.09335443  0.5986431 ],
[-0.02927215  1.17426146],[0.28322785 1.008902  ],[-0.04984177  0.14024156],
[0.74920886 0.62166783],[0.22626582 0.7912136 ],[0.28718354 1.20775198],
[0.94778481 0.02093158],[-0.14636076  0.57980468],[0.23022152 0.99006358],
[-0.08227848  1.15542304],[0.69620253 0.60282941],[0.7903481  0.04395631],
[0.17325949 0.77237518],[-0.14240506  0.77865466],[0.11629747 0.55468679],
[0.23417722 1.18891356],[-0.19936709  0.56096626],[0.89477848 0.00209316],
[0.7943038  0.24280629],[0.17721519 0.97122516],[0.73734177 0.02511789],
[0.12025316 0.75353677],[-0.19541139  0.75981624],[0.18117089 1.17007514],
[0.06329114 0.53584837],[0.74129747 0.22396787],[0.12420886 0.95238675],
[0.68433544 0.00627947],[0.06724684 0.73469835],[-0.24841772  0.74097782],
[0.74525316 0.42281785],[-0.18433544  1.31659618],[0.43275316 0.58817731],
[0.68829114 0.20512945],[0.07120253 0.93354833],[0.37579114 0.37048891],
[0.43670886 0.78702729],[-0.08623418  0.95657306],[0.69224684 0.40397943],
[-0.23734177  1.29775776],[0.37974684 0.56933889],[0.63528481 0.18629103],
[0.44066456 0.98587727],[0.32278481 0.35165049],[0.38370253 0.76818887],
[-0.13924051  0.93773464],[0.63924051 0.38514101],[0.32674051 0.55050047],
[0.58227848 0.16745261],[0.26977848 0.33281207],[-0.13528481  1.13658462],
[-0.44778481  1.30194408],[0.3306962  0.74935045],[-0.19224684  0.91889622],
[0.58623418 0.36630259],[0.27373418 0.53166205],[0.54984177 1.18263409],
[0.52927215 0.1486142 ],[-0.18829114  1.1177462 ],[0.27768987 0.73051203],
[-0.24525316  0.9000578 ],[0.74841772 0.58189784],[0.22072785 0.51282363],
[0.49683544 1.16379567],[0.47626582 0.12977578],[-0.24129747  1.09890778],
[0.22468354 0.71167361],[0.31882911 0.15280051],[-0.29825949  0.88121938],
[0.69541139 0.56305942],[0.16772152 0.49398521],[0.44382911 1.14495725],
[0.42325949 0.11093736],[-0.2943038   1.08006936],[0.69936709 0.7619094 ],
[0.38686709 0.92726885],[0.26582278 0.13396209],[0.64240506 0.544221  ],
[0.01424051 0.71585993],[0.39082278 1.12611883],[0.37025316 0.09209894],
[0.07515823 1.13239831],[-0.04272152  0.49817153],[0.64636076 0.74307098],
[0.33386076 0.90843043],[0.21281646 0.11512367],[0.0181962  0.91470991],
[0.58939873 0.52538258],[-0.03876582  0.69702151],[0.33781646 1.10728041],
[0.53243671 0.30769418],[0.21677215 0.31397365],[-0.09572785  0.47933311],
[0.0221519  1.11355989],[0.59335443 0.72423256],[0.28085443 0.88959202],
[-0.03481013  0.89587149],[0.15981013 0.09628525],[0.34177215 1.30613039],
[-0.09177215  0.67818309],[0.59731013 0.92308254],[0.28481013 1.088442  ],
[-0.14873418  0.46049469],[0.16376582 0.29513523],[0.2278481 0.8707536],
[-0.08781646  0.87703307],[0.1068038  0.07744683],[0.28876582 1.28729197],
[-0.14477848  0.65934467],[0.84889241 0.3411847 ],[0.2318038  1.06960358],
[0.13132911 1.31031671],[0.11075949 0.27629681],[0.79193038 0.1234963 ],
[0.17484177 0.85191518],[-0.14082278  0.85819465],[0.05379747 0.05860842],
[0.23575949 1.26845356],[-0.19778481  0.64050625],[0.79588608 0.32234628],
[0.17879747 1.05076516],[0.07832278 1.29147829],[0.05775316 0.25745839],
[0.73892405 0.10465788],[-0.19382911  0.83935623],[0.00079114 0.03977   ],
[0.79984177 0.52119626],[0.74287975 0.30350786],[0.54825949 1.1030941 ],
[0.02531646 1.27263987],[0.00474684 0.23861998],[0.68591772 0.08581946],
[-0.03164557  1.05495147],[0.74683544 0.50235784],[-0.34731013  1.06123095],
[0.22389241 0.67190362],[0.68987342 0.28466944],[-0.02768987  1.25380145],
[-0.04825949  0.21978156],[0.63291139 0.06698105],[-0.34335443  1.26008093],
[-0.0846519   1.03611305],[0.69382911 0.48351942],[0.17088608 0.6530652 ],
[0.63686709 0.26583103],[0.53639241 0.50654416],[-0.0806962   1.23496303],
[0.57990506 0.04814263],[-0.39636076  1.24124251],[-0.13765823  1.01727463],
[0.26424051 0.0544221 ],[0.64082278 0.46468101],[0.5403481  0.70539414],
[0.58386076 0.24699261],[0.48338608 0.48770574],[-0.13370253  1.21612461],
[0.52689873 0.02930421],[0.5443038  0.90424412],[-0.19066456  0.99843621],
[0.21123418 0.03558368],[0.58781646 0.44584259],[0.48734177 0.68655572],
[-0.24762658  0.78074782],[0.53085443 0.22815419],[0.43037975 0.46886732],
[-0.18670886  1.19728619],[0.37341772 0.25117892],[0.49129747 0.8854057 ],
[-0.24367089  0.9795978 ],[0.43433544 0.6677173 ],[0.4778481  0.20931577],
[0.37737342 0.4500289 ],[0.18275316 1.24961514],[0.43829114 0.86656728],
[0.12579114 1.03192674],[0.32041139 0.2323405 ],[0.69699367 0.64259941],
[0.38132911 0.64887888],[0.42484177 0.19047735],[0.12974684 1.23077672],
[0.32436709 0.43119048],[0.38528481 0.84772886],[0.07278481 1.01308832],
[0.26740506 0.21350208],[0.32832278 0.63004046],[0.07674051 1.2119383 ],
[0.27136076 0.41235206],[0.54746835 1.0633241 ],[0.01977848 0.9942499 ],
[0.21439873 0.19466366],[0.27531646 0.61120204],[0.02373418 1.19309988],
[0.21835443 0.39351364],[0.11787975 0.63422678],[0.49446203 1.04448568],
[0.47389241 0.01046579],[0.16139241 0.17582525],[0.22231013 0.59236362],
[0.12183544 0.83307676],[0.49841772 1.24333566],[0.1653481  0.37467523],
[0.06487342 0.61538836],[0.4414557  1.02564726],[0.10838608 0.15698683],
[0.1693038  0.57352521],[0.06882911 0.81423834],[0.44541139 1.22449724],
[0.11234177 0.35583681],[0.01186709 0.59654994],[0.38844937 1.00680885],
[0.05537975 0.13814841],[-0.23971519  1.17844778],[-0.04509494  0.37886154],
[0.33148734 0.78912045],[0.01582278 0.79539992],[-0.29667722  0.96075938],
[0.39240506 1.20565883],[0.05933544 0.33699839],[-0.04113924  0.57771152],
[0.33544304 0.98797043],[0.00237342 0.11930999],[-0.29272152  1.15960936],
[-0.09810127  0.36002312],[0.27848101 0.77028203],[-0.03718354  0.7765615 ],
[-0.34968354  0.94192096],[0.33939873 1.18682041],[0.00632911 0.31815997],
[-0.09414557  0.5588731 ],[0.89952532 0.24071313],[0.28243671 0.96913201],
[-0.03322785  0.97541148],[-0.34572785  1.14077094],[0.64794304 0.82261097],
[-0.09018987  0.75772308],[0.59098101 0.60492257],[-0.1471519   0.54003468],
[0.84651899 0.22187471],[0.1289557  1.19100672],[-0.39873418  1.12193252],
[0.59493671 0.80377255],[-0.1431962   0.73888466],[0.53797468 0.58608415],
[-0.39477848  1.3207825 ],[0.59889241 1.00262253],[0.79351266 0.2030363 ],
[0.07594937 1.1721683 ],[0.54193038 0.78493413],[-0.19620253  0.72004624],
[0.79746835 0.40188628],[0.48496835 0.56724573],[0.54588608 0.98378411],
[0.74050633 0.18419788],[0.02294304 1.15332988],[0.48892405 0.76609571],
[-0.24920886  0.70120782],[0.74446203 0.38304786],[0.43196203 0.54840731],
[0.49287975 0.96494569],[0.6875     0.16535946],[-0.03006329  1.13449146],
[0.37183544 0.17163893],[0.43591772 0.74725729],[-0.08702532  0.91680307],
[0.6914557  0.36420944],[0.63449367 0.14652104],[0.43987342 0.94610727],
[-0.08306962  1.11565304],[0.38291139 0.72841887],[-0.14003165  0.89796465],
[0.63844937 0.34537102],[-0.07911392  1.31450302],[0.01028481 0.51700995],
[0.58148734 0.12768262],[0.28639241 1.16798199],[-0.44857595  1.26217408],
[-0.04667722  0.29932155],[0.48101266 0.36839575],[0.32990506 0.70958045],
[0.58860759 0.48561258],[0.22943038 0.95029359],[0.58544304 0.3265326 ],
[0.17246835 0.73260519],[0.54905063 1.14286409],[0.52848101 0.1088442 ],
[0.23338608 1.14914357],[0.42800633 0.34955733],[-0.09968354  0.28048313],
[0.27689873 0.69074204],[0.17642405 0.93145517],[0.11946203 0.71376677],
[0.4960443  1.12402568],[0.89794304 0.16117314],[0.18037975 1.13030515],
[0.375      0.33071891],[0.12341772 0.91261675],[0.31803797 0.11303051],
[0.3789557  0.52956889],[0.0664557  0.69492835],[0.44303797 1.10518726],
[0.84493671 0.14233472],[0.12737342 1.11146673],[0.32199367 0.31188049],
[0.26503165 0.0941921 ],[0.07041139 0.89377833],[0.44699367 1.30403724],
[0.32594937 0.51073047],[0.01344937 0.67608993],[0.39003165 1.08634884],
[0.26898734 0.29304208],[-0.04351266  0.45840153],[0.07436709 1.09262831],
[0.01740506 0.87493991],[0.21202532 0.07535368],[0.27294304 0.49189206],
[-0.03955696  0.65725151],[-0.09651899  0.43956311],[0.02136076 1.07378989],
[0.21598101 0.27420366],[-0.03560127  0.85610149],[0.15901899 0.05651526],
[-0.13607595  1.09681463],[-0.09256329  0.63841309],[0.21993671 0.47305364],
[0.16297468 0.25536524],[-0.13212025  1.29566461],[-0.08860759  0.83726307],
[0.10601266 0.03767684],[-0.18908228  1.07797621],[0.16693038 0.45421522],
[-0.14556962  0.61957467],[-0.2460443   0.86028781],[0.84810127 0.30141471],
[0.13053797 1.27054671],[0.10996835 0.23652682],[0.79113924 0.08372631],
[-0.18512658  1.27682619],[0.38607595 0.88749886],[0.47547468 0.09000578],
[-0.14161392  0.81842465],[-0.24208861  1.05913779],[-0.19857595  0.60073625],
[0.79509494 0.28257629],[-0.29905063  0.84144939],[0.07753165 1.25170829],
[0.47943038 0.28885576],[-0.23813291  1.25798777],[0.42246835 0.07116736],
[-0.19462025  0.79958623],[0.79905063 0.48142627],[-0.29509494  1.04029937],
[0.69857595 0.7221394 ],[0.74208861 0.26373787],[0.02452532 1.23286988],
[0.42642405 0.27001734],[-0.29113924  1.23914935],[0.36946203 0.05232894],
[-0.34810127  1.02146095],[0.7460443  0.46258785],[0.64556962 0.70330098],
[0.68908228 0.24489945],[0.39398734 1.28519882],
